"id","company","car_model","year","fuel_type","kilo_driven","predicted_price"
"310","Hyundai","Hyundai Santro GLS I - Euro I",2002,"Petrol",120000,"60000.00"
"311","Tata","Tata Safari Storme VX",2019,"Diesel",70000,"620000.00"
"312","Mahindra","Mahindra Scorpio REV 116",2009,"Petrol",220000,"220000.00"
"313","Datsun","Datsun GO Plus A",2018,"Petrol",45000,"315000.00"
"314","Toyota","Toyota Fortuner 4x4 MT",2017,"Diesel",110000,"1200000.00"
"315","Ford","Ford Ecosport 1.5 DV5 MT Titanium",2017,"Diesel",49000,"571538.46"
"316","Mahindra","Mahindra XUV500 W11 AT BSIV",2021,"Diesel",35000,"1600000.00"
"317","Mahindra","Mahindra Supro VX 8 Str",2020,"Diesel",160000,"500000.00"
"318","Ford","Ford Endeavour 2.5L 4X2 MT",2011,"Diesel",110000,"462500.00"
"319","Mahindra","Mahindra KUV 100 D75 K2",2020,"Diesel",40000,"409999.00"
"320","Maruti","Maruti Swift Glam",2012,"Petrol",70000,"250000.00"
"321","Tata","Tata New Safari DICOR 2.2 EX 4x2",2013,"Diesel",120000,"287307.54"
"322","Honda","Honda Brio 1.2 VX MT",2021,"Petrol",20000,"475000.00"
"323","Chevrolet","Chevrolet Sail Hatchback LS ABS",2016,"Diesel",120000,"200000.00"
"324","Tata","Tata Tiago NRG Petrol",2022,"Petrol",8000,"562500.00"
"325","Maruti","Maruti Vitara Brezza ZDi Plus",2021,"Diesel",10000,"891999.80"
"326","Hyundai","Hyundai Santro Era",2022,"Petrol",30000,"350000.00"
"327","Honda","Honda City i-DTEC V",2020,"Diesel",25000,"1044999.00"
"328","Hyundai","Hyundai Verna 1.6 CRDI",2014,"Diesel",127500,"343000.00"
"329","Hyundai","Hyundai EON D Lite Plus",2018,"Petrol",40903,"215999.60"
"330","Ford","Ford Endeavour 4x4 XLT",2007,"Diesel",22288,"312500.00"
"331","Volkswagen","Volkswagen Jetta 2.0 TDI Trendline",2014,"Diesel",180000,"270000.00"
"332","Volkswagen","Volkswagen Polo 1.5 TDI Highline",2018,"Diesel",30000,"516666.67"
"333","Hyundai","Hyundai i20 Asta 1.2",2018,"Petrol",64484,"468750.00"
"334","Renault","Renault Duster 85PS Diesel RxE",2016,"Diesel",75976,"458333.33"
"335","Maruti","Maruti Omni E MPI STD BS IV",2021,"Petrol",120000,"240428.43"
"336","Honda","Honda Brio S Option AT",2015,"Petrol",75000,"285000.00"
"337","Honda","Honda Accord 2.4 MT",2012,"Petrol",57035,"400000.00"
"338","Ford","Ford Figo 1.2P Ambiente MT",2018,"Petrol",45000,"229999.00"
"339","Tata","Tata Nano Lx",2014,"Petrol",15000,"93571.43"
"340","Tata","Tata Indigo LS Dicor",2014,"Diesel",80000,"220000.00"
"341","Tata","Tata Indica Vista Terra 1.4 TDI",2012,"Diesel",164000,"106600.00"
"342","Maruti","Maruti Zen VXI",2009,"Petrol",77000,"110000.00"
"343","Chevrolet","Chevrolet Beat LS",2015,"Petrol",50000,"176285.71"
"344","Maruti","Maruti Swift VDI",2015,"Diesel",80000,"388629.63"
"345","Maruti","Maruti Wagon R AMT VXI",2021,"Petrol",24000,"330000.00"
"346","Mahindra","Mahindra TUV 300 T4 Plus",2021,"Diesel",50000,"705000.00"
"347","Maruti","Maruti 800 AC BSII",2004,"Petrol",100000,"48250.00"
"348","Hyundai","Hyundai Santro Magna BSIV",2022,"Petrol",1250,"462500.00"
"349","Tata","Tata Zest Revotron 1.2 XT",2018,"Petrol",17152,"390000.00"
"350","Mahindra","Mahindra XUV500 W11 Option AT AWD",2022,"Diesel",5000,"1850000.00"
"351","Volkswagen","Volkswagen Polo Diesel Trendline 1.2L",2015,"Diesel",77000,"253750.00"
"352","Hyundai","Hyundai Verna CRDi",2011,"Diesel",90000,"196666.67"
"353","Tata","Tata Indica Vista Quadrajet LX",2014,"Diesel",80000,"148571.43"
"354","Renault","Renault Duster 85PS Diesel RxL",2017,"Diesel",120000,"479117.65"
"355","Hyundai","Hyundai i10 Era 1.1",2012,"Petrol",120000,"168750.00"
"356","Maruti","Maruti Swift Dzire ZDI",2018,"Diesel",80000,"578363.55"
"357","Ford","Ford Figo Diesel ZXI",2014,"Diesel",149000,"271666.67"
"358","Maruti","Maruti Wagon R LXI BSIII",2008,"Petrol",65000,"107500.00"
"359","Maruti","Maruti Swift Ldi BSIV",2012,"Diesel",100000,"301666.67"
"360","Volkswagen","Volkswagen Vento Diesel Highline",2014,"Diesel",65000,"327142.86"
"361","Datsun","Datsun GO Plus T Option BSIV",2021,"Petrol",19000,"313333.33"
"362","Maruti","Maruti Alto K10 VXI Airbag",2018,"Petrol",30000,"323750.00"
"363","Hyundai","Hyundai EON LPG Magna Plus",2015,"LPG",90000,"196666.67"
"364","Mahindra","Mahindra Bolero DI DX 7 Seater",2010,"Diesel",120000,"176666.67"
"365","Maruti","Maruti Ertiga BSIV ZXI",2018,"Petrol",80000,"500000.00"
"366","Honda","Honda BR-V i-VTEC S MT",2021,"Petrol",5000,"900000.00"
"367","Toyota","Toyota Etios VD",2014,"Diesel",100000,"482857.00"
"368","Hyundai","Hyundai Santro Xing GLS Audio LPG",2015,"LPG",100000,"250000.00"
"369","Ford","Ford Figo 1.2P Titanium MT",2022,"Petrol",12586,"650000.00"
"370","Fiat","Fiat Avventura Urban Cross 1.3 Multijet Emotion",2021,"Diesel",38083,"650000.00"
"371","Ford","Ford EcoSport 1.5 TDCi Titanium BSIV",2016,"Diesel",93283,"711500.00"
"372","Maruti","Maruti Swift Ldi BSIII",2012,"Diesel",217871,"205500.00"
"373","Ford","Ford Fiesta Classic 1.4 Duratorq CLXI",2015,"Diesel",90165,"308333.33"
"374","Ford","Ford Figo Titanium Diesel BSIV",2013,"Diesel",86017,"325000.00"
"375","Ford","Ford Ikon 1.3L Rocam Flair",2009,"Petrol",91086,"180000.00"
"376","Fiat","Fiat Punto 1.3 Emotion",2016,"Diesel",160254,"255000.00"
"377","Honda","Honda WR-V i-DTEC V",2022,"Diesel",60000,"900000.00"
"378","Skoda","Skoda Laura L n K 1.9 PD",2009,"Diesel",100000,"343333.33"
"379","Maruti","Maruti Ritz LDi",2016,"Diesel",90000,"316500.00"
"380","Mahindra","Mahindra Xylo D2",2012,"Diesel",120000,"291666.67"
"381","Honda","Honda City i DTEC S",2017,"Diesel",82000,"565000.00"
"382","Mahindra","Mahindra Scorpio 1.99 S4",2019,"Diesel",60000,"509999.00"
"383","Tata","Tata Indigo Grand Dicor",2017,"Diesel",120000,"220333.33"
"384","Honda","Honda Amaze EX i-Dtech",2016,"Diesel",65000,"339999.80"
"385","Hyundai","Hyundai Creta 1.6 CRDi SX Plus",2018,"Diesel",84000,"1049750.00"
"386","Toyota","Toyota Etios GD SP",2016,"Diesel",75000,"306666.67"
"387","Maruti","Maruti SX4 S Cross DDiS 320 Delta",2019,"Diesel",560000,"551666.67"
"388","Toyota","Toyota Fortuner 2.8 4WD AT BSIV",2020,"Diesel",41000,"2866666.67"
"389","Maruti","Maruti Ciaz VDi Option SHVS",2018,"Diesel",65000,"565000.00"
"390","Mahindra","Mahindra Scorpio VLX 2WD AIRBAG SE BSIV",2015,"Diesel",72000,"565000.00"
"391","Hyundai","Hyundai Tucson 2.0 e-VGT 2WD MT",2020,"Diesel",55000,"1650000.00"
"392","Jaguar","Jaguar XF 5.0 Litre V8 Petrol",2015,"Petrol",66363,"2050000.00"
"393","Hyundai","Hyundai Creta 1.6 VTVT AT SX Plus",2021,"Petrol",11700,"1475000.00"
"394","Hyundai","Hyundai Verna VTVT 1.6 AT SX Option",2020,"Petrol",10000,"1050000.00"
"395","Mercedes-Benz","Mercedes-Benz GL-Class 350 CDI Blue Efficiency",2017,"Diesel",100000,"4400000.00"
"396","Maruti","Maruti Swift ZXI BSIV",2019,"Petrol",7104,"670000.00"
"397","Maruti","Maruti S-Cross Zeta DDiS 200 SH",2018,"Diesel",45974,"776071.43"
"398","Hyundai","Hyundai Verna 1.6 VTVT SX",2018,"Petrol",55340,"760000.00"
"399","Volkswagen","Volkswagen Polo GTI",2020,"Petrol",20000,"837500.00"
"400","Renault","Renault Pulse RxL",2018,"Diesel",61585,"390000.00"
"401","Maruti","Maruti Celerio VXI AMT BSIV",2019,"Petrol",39415,"450000.00"
"402","Honda","Honda Brio V MT",2017,"Petrol",29654,"366333.33"
"403","Hyundai","Hyundai Creta 1.6 SX Automatic Diesel",2018,"Diesel",54634,"1150000.00"
"404","Honda","Honda City i VTEC V",2018,"Petrol",66521,"673571.43"
"405","Toyota","Toyota Innova Crysta 2.4 GX AT",2021,"Diesel",23974,"1725000.00"
"406","BMW","BMW 3 Series 320d Luxury Line",2019,"Diesel",43000,"2216666.67"
"407","Mercedes-Benz","Mercedes-Benz C-Class Progressive C 220d",2021,"Diesel",10000,"3800000.00"
"408","Audi","Audi A4 3.0 TDI Quattro",2016,"Diesel",86000,"1580000.00"
"409","BMW","BMW X5 xDrive 30d xLine",2022,"Diesel",30000,"4950000.00"
"410","Maruti","Maruti SX4 Vxi BSIV",2015,"Petrol",110000,"243750.00"
"411","Hyundai","Hyundai Grand i10 1.2 Kappa Magna AT",2020,"Petrol",19890,"550000.00"
"412","Hyundai","Hyundai Grand i10 Magna AT",2020,"Petrol",10510,"520000.00"
"413","Chevrolet","Chevrolet Beat LT Option",2019,"Petrol",41000,"239083.33"
"414","Toyota","Toyota Fortuner 4x2 AT",2020,"Diesel",47162,"2538076.92"
"415","Hyundai","Hyundai i10 Magna",2015,"Petrol",49824,"236817.68"
"416","Hyundai","Hyundai Santro GS",2008,"Petrol",56580,"81538.46"
"417","Skoda","Skoda Laura Ambiente 2.0 TDI CR MT",2015,"Diesel",52000,"379615.38"
"418","Hyundai","Hyundai i20 Sportz 1.2",2016,"Petrol",50000,"494500.00"
"419","Maruti","Maruti Gypsy E MG410W ST",1998,"Petrol",100000,"95000.00"
"420","Tata","Tata Nexon 1.5 Revotorq XZ",2022,"Diesel",60000,"862500.00"
"421","Mahindra","Mahindra Verito 1.5 D4 BSIV",2015,"Diesel",172000,"295000.00"
"422","Chevrolet","Chevrolet Tavera LS B3 7 Seats BSII",2008,"Diesel",150000,"150000.00"
"423","Chevrolet","Chevrolet Optra Magnum 2.0 LS",2012,"Diesel",66000,"180000.00"
"424","Maruti","Maruti Eeco 5 Seater Standard BSIV",2022,"Petrol",5000,"380000.00"
"425","Honda","Honda Civic 1.8 MT Sport",2010,"Petrol",55000,"225000.00"
"426","Tata","Tata Hexa XT 4X4",2020,"Diesel",3000,"1600000.00"
"427","Tata","Tata Indica Vista Quadrajet VX",2015,"Diesel",85000,"195000.00"
"428","Mahindra","Mahindra Scorpio 2.6 CRDe SLE",2014,"Diesel",50000,"362500.00"
"429","Maruti","Maruti Zen Estilo LXI BSIII",2011,"Petrol",90000,"155000.00"
"430","Maruti","Maruti Swift Dzire AMT ZXI Plus BS IV",2020,"Petrol",8000,"710000.00"
"431","Honda","Honda Amaze S AT i-Vtech",2018,"Petrol",7900,"425000.00"
"432","Maruti","Maruti Swift VXI",2021,"Petrol",17500,"517357.14"
"433","Mahindra","Mahindra Renault Logan 1.4 GLX Petrol",2011,"Petrol",25000,"112500.00"
"434","Hyundai","Hyundai i10 Magna LPG",2016,"LPG",88600,"271666.67"
"435","Tata","Tata Venture EX",2015,"Diesel",80000,"110000.00"
"436","Chevrolet","Chevrolet Captiva LT",2011,"Diesel",100000,"375000.00"
"437","Chevrolet","Chevrolet Aveo U-VA 1.2 LS",2013,"Petrol",60000,"160000.00"
"438","Maruti","Maruti Ciaz Zeta BSIV",2022,"Petrol",11000,"925000.00"
"439","Tata","Tata Hexa XM",2020,"Diesel",30000,"1083333.00"
"440","Hyundai","Hyundai Santro Xing GL PLUS CNG",2010,"CNG",80000,"90000.00"
"441","Mahindra","Mahindra Thar CRDe ABS",2022,"Diesel",15000,"900000.00"
"442","Maruti","Maruti Alto K10 2010-2014 VXI",2014,"Petrol",90000,"200599.90"
"443","Maruti","Maruti Alto K10 LXI",2018,"Petrol",120000,"209874.75"
"444","Honda","Honda City 1.5 V AT",2014,"Petrol",70000,"197000.00"
"445","Maruti","Maruti Ritz LXI",2012,"Petrol",15000,"300000.00"
"446","Honda","Honda Jazz VX",2021,"Petrol",20000,"456666.67"
"447","Mahindra","Mahindra Scorpio SLE BSIII",2012,"Diesel",100000,"475000.00"
"448","Skoda","Skoda Rapid 1.6 MPI AT Elegance Plus",2018,"Petrol",70000,"600000.00"
"449","Tata","Tata Nano LX",2016,"Petrol",27974,"59000.00"
"450","Maruti","Maruti Zen Estilo 1.1 VXI BSIII",2010,"Petrol",80000,"107500.00"
"451","Maruti","Maruti Wagon R LX Minor",2016,"Petrol",38000,"230000.00"
"452","Skoda","Skoda Octavia Classic 1.9 TDI MT",2007,"Diesel",120000,"120000.00"
"453","Maruti","Maruti Swift AMT VXI",2021,"Petrol",18000,"587500.00"
"454","Honda","Honda Amaze SX i-VTEC",2019,"Petrol",10000,"550000.00"
"455","Hyundai","Hyundai Grand i10 Nios Magna CRDi",2023,"Diesel",1400,"700000.00"
"456","Volkswagen","Volkswagen Jetta 1.9 L TDI",2013,"Diesel",100000,"250000.00"
"457","Hyundai","Hyundai Xcent 1.1 CRDi SX Option",2019,"Diesel",30000,"503333.33"
"458","Hyundai","Hyundai Santro Xing GL Plus LPG",2014,"LPG",60000,"229999.00"
"459","Hyundai","Hyundai Accent Executive",2015,"Petrol",100000,"162500.00"
"460","Maruti","Maruti Celerio VXI AT",2020,"Petrol",32670,"420000.00"
"461","Hyundai","Hyundai Creta 1.6 CRDi AT SX Plus",2019,"Diesel",30093,"1037000.00"
"462","Maruti","Maruti Ertiga VXI CNG",2016,"CNG",56228,"569000.00"
"463","Hyundai","Hyundai Verna 1.6 SX VTVT",2016,"Petrol",59319,"541666.67"
"464","Hyundai","Hyundai Grand i10 1.2 Kappa Sportz Dual Tone",2016,"Petrol",35299,"437500.00"
"465","Toyota","Toyota Etios V",2014,"Petrol",51687,"313000.00"
"466","Volkswagen","Volkswagen Vento Petrol Highline AT",2014,"Petrol",76259,"284500.00"
"467","Volkswagen","Volkswagen Polo Diesel Highline 1.2L",2016,"Diesel",44049,"363166.50"
"468","Mahindra","Mahindra KUV 100 mFALCON D75 K8",2020,"Diesel",45087,"475000.00"
"469","Audi","Audi A4 New  2.0 TDI Multitronic",2017,"Diesel",42215,"1549000.00"
"470","Volkswagen","Volkswagen Polo Petrol Highline 1.2L",2014,"Petrol",54206,"232999.50"
"471","Skoda","Skoda Rapid 1.6 MPI Active",2015,"Petrol",52547,"269000.00"
"472","Maruti","Maruti Ertiga ZDI",2017,"Diesel",59110,"611200.00"
"473","Maruti","Maruti Wagon R Stingray LXI",2017,"Petrol",54565,"299000.00"
"474","Skoda","Skoda Superb 1.8 TSI",2016,"Petrol",61624,"599000.00"
"475","Tata","Tata Indigo LS",2010,"Diesel",195000,"138333.33"
"476","Land","Land Rover Discovery Sport TD4 HSE 7S",2021,"Diesel",68000,"4000000.00"
"477","Tata","Tata Sumo GX TC 8 Str",2013,"Diesel",120000,"220000.00"
"478","Hyundai","Hyundai i20 Magna",2013,"Petrol",90000,"245000.00"
"479","Hyundai","Hyundai Verna CRDi 1.6 SX Option",2022,"Diesel",25000,"1177857.14"
"480","Tata","Tata Tiago XZA AMT",2021,"Petrol",10980,"525000.00"
"481","Toyota","Toyota Innova Crysta 2.4 VX MT BSIV",2021,"Diesel",50000,"1585000.00"
"482","Hyundai","Hyundai Grand i10 AT Asta",2018,"Petrol",30000,"432500.00"
"483","Maruti","Maruti Ciaz VXi",2018,"Petrol",69782,"625000.00"
"484","Mahindra","Mahindra XUV500 W8 4WD",2016,"Diesel",63654,"699444.44"
"485","Renault","Renault Lodgy 85PS RxL",2020,"Diesel",60000,"656250.00"
"486","Mahindra","Mahindra Scorpio S6 Plus 7 Seater",2018,"Diesel",52000,"890000.00"
"487","Maruti","Maruti Swift LDI BSIV",2018,"Diesel",59385,"490000.00"
"488","Hyundai","Hyundai i20 2015-2017 Magna 1.2",2018,"Petrol",70378,"525000.00"
"489","Maruti","Maruti Wagon R LXI BS IV",2016,"Petrol",55425,"259200.00"
"490","Mahindra","Mahindra Bolero 2011-2019 SLX 2WD BSIII",2016,"Diesel",78413,"550000.00"
"491","Toyota","Toyota Innova Crysta 2.8 ZX AT BSIV",2020,"Diesel",75000,"1750000.00"
"492","Maruti","Maruti Ciaz VDI SHVS",2020,"Diesel",55545,"712500.00"
"493","Tata","Tata Indica GLS BS IV",2012,"Petrol",120000,"85666.67"
"494","Honda","Honda City i DTec SV",2017,"Diesel",27483,"550000.00"
"495","Maruti","Maruti Swift LXI",2022,"Petrol",8000,"293000.00"
"496","Maruti","Maruti Zen LXI",2009,"Petrol",70000,"79142.86"
"497","Honda","Honda WR-V i-VTEC VX",2021,"Petrol",1440,"793750.00"
"498","Toyota","Toyota Fortuner 2.8 2WD AT BSIV",2020,"Diesel",20000,"2933333.33"
"499","Toyota","Toyota Innova Crysta 2.4 ZX MT",2020,"Diesel",91195,"1330000.00"
"500","Volkswagen","Volkswagen Polo 1.5 TDI Trendline",2014,"Diesel",63657,"317500.00"
"501","Mahindra","Mahindra Verito Vibe 1.5 dCi D4",2016,"Diesel",60000,"250000.00"
"502","Volkswagen","Volkswagen Vento Magnific 1.6 Highline",2016,"Petrol",97248,"380000.00"
"503","Maruti","Maruti Swift Dzire LDI",2021,"Diesel",80000,"482222.22"
"504","Tata","Tata New Safari DICOR 2.2 GX 4x2",2014,"Diesel",100000,"320000.00"
"505","Maruti","Maruti SX4 ZDI",2014,"Diesel",90000,"307500.00"
"506","Hyundai","Hyundai Verna 1.6 SX VTVT (O)",2016,"Petrol",89000,"538750.00"
"507","Fiat","Fiat Grande Punto 1.3 Dynamic (Diesel)",2015,"Diesel",100000,"167500.00"
"508","Maruti","Maruti Wagon R Stingray VXI",2017,"Petrol",75000,"305000.00"
"509","Toyota","Toyota Etios Liva 1.4 VD",2020,"Diesel",36000,"425000.00"
"510","Hyundai","Hyundai Xcent 1.2 Kappa SX",2019,"Petrol",12000,"383333.33"
"511","Honda","Honda Amaze VX O iDTEC",2020,"Diesel",12997,"550000.00"
"512","Maruti","Maruti Ciaz 1.4 AT Zeta",2020,"Petrol",40000,"592499.75"
"513","Mahindra","Mahindra Scorpio S4 4WD",2018,"Diesel",60000,"633333.33"
"514","Maruti","Maruti Swift 1.3 VXI ABS",2018,"Petrol",24600,"380000.00"
"515","Ford","Ford Ecosport 1.0 Ecoboost Titanium Optional",2016,"Petrol",100000,"381250.00"
"516","Renault","Renault KWID Climber 1.0 AMT BSIV",2020,"Petrol",7658,"350000.00"
"517","Renault","Renault KWID RXL BSIV",2020,"Petrol",18500,"325000.00"
"518","Hyundai","Hyundai EON 1.0 Era Plus",2015,"Petrol",48000,"229999.88"
"519","Toyota","Toyota Innova 2.5 G (Diesel) 8 Seater",2018,"Diesel",53652,"815375.00"
"520","Toyota","Toyota Innova 2.5 G4 Diesel 8-seater",2010,"Diesel",80000,"250000.00"
"521","Mahindra","Mahindra KUV 100 G80 K2",2021,"Petrol",5000,"385000.00"
"522","Hyundai","Hyundai i20 1.4 Asta Option",2020,"Diesel",106000,"784666.67"
"523","Renault","Renault KWID RXL",2019,"Petrol",60000,"281666.50"
"524","Maruti","Maruti Celerio ZXI Optional AMT BSIV",2020,"Petrol",82000,"370000.00"
"525","Fiat","Fiat Palio D 1.9 EL PS",2006,"Diesel",35000,"55000.00"
"526","Fiat","Fiat Linea Classic 1.3 Multijet",2018,"Diesel",130000,"350000.00"
"527","Maruti","Maruti Alto 800 CNG LXI",2015,"CNG",97000,"170000.00"
"528","Maruti","Maruti Swift Dzire VXi",2012,"Petrol",60000,"270833.17"
"529","Hyundai","Hyundai Grand i10 1.2 Kappa Sportz BSIV",2022,"Petrol",25000,"499428.57"
"530","Honda","Honda Brio 1.2 S MT",2020,"Petrol",15000,"350000.00"
"531","Tata","Tata Zest Revotron 1.2T XE",2019,"Petrol",90000,"353750.00"
"532","Hyundai","Hyundai Creta 1.4 CRDi Base",2019,"Diesel",80000,"925000.00"
"533","Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI",2017,"Diesel",79500,"2500000.00"
"534","Toyota","Toyota Innova Crysta 2.4 GX MT 8S BSIV",2021,"Diesel",5000,"1700000.00"
"535","Tata","Tata New Safari DICOR 2.2 EX 4x4",2012,"Diesel",120000,"250000.00"
"536","Mahindra","Mahindra Marazzo M4",2021,"Diesel",15000,"950000.00"
"537","Toyota","Toyota Etios Cross 1.2L G",2018,"Petrol",60000,"370500.00"
"538","Mahindra","Mahindra KUV 100 mFALCON D75 K8 AW",2019,"Diesel",90000,"350000.00"
"539","Maruti","Maruti Swift Dzire VXI",2018,"Petrol",90000,"425000.00"
"540","Hyundai","Hyundai i20 Asta 1.4 CRDi (Diesel)",2012,"Diesel",72000,"250000.00"
"541","Toyota","Toyota Innova 2.0 GX 8 STR BSIV",2014,"Petrol",197000,"550000.00"
"542","Tata","Tata Hexa XTA",2020,"Diesel",50000,"1250000.00"
"543","Hyundai","Hyundai Verna 1.6 SX VTVT AT",2014,"Petrol",60000,"450000.00"
"544","Maruti","Maruti Swift Dzire VXI 1.2 BS IV",2021,"Petrol",40000,"615000.00"
"545","Maruti","Maruti SX4 ZDI Leather",2015,"Diesel",60000,"400000.00"
"546","Maruti","Maruti Ignis 1.2 Alpha BSIV",2020,"Petrol",9161,"500000.00"
"547","Honda","Honda Mobilio V i VTEC",2018,"Petrol",45000,"550000.00"
"548","Hyundai","Hyundai Getz 1.3 GVS",2013,"Petrol",110000,"110000.00"
"549","Ford","Ford Fiesta Titanium 1.5 TDCi",2014,"Diesel",100000,"408000.00"
"550","Hyundai","Hyundai Accent GLE CNG",2012,"CNG",70000,"152500.00"
"551","Tata","Tata Tigor 1.2 Revotron XM",2021,"Petrol",5000,"504999.50"
"552","Hyundai","Hyundai i10 Magna 1.1",2011,"Petrol",90000,"131250.00"
"553","Nissan","Nissan Sunny Diesel XV",2016,"Diesel",80000,"358333.33"
"554","Tata","Tata Nano Std",2014,"Petrol",19000,"40000.00"
"555","Chevrolet","Chevrolet Tavera LT L1 7 Seats BSIII",2009,"Diesel",200000,"140000.00"
"556","Mahindra","Mahindra Verito 1.5 D2 BSIV",2018,"Diesel",70000,"227000.00"
"557","Hyundai","Hyundai EON D Lite",2019,"Petrol",30000,"217000.00"
"558","Toyota","Toyota Innova 2.5 GX (Diesel) 7 Seater",2018,"Diesel",128000,"843333.33"
"559","Nissan","Nissan Terrano XV Premium 110 PS",2016,"Diesel",80000,"683333.33"
"560","Nissan","Nissan Sunny XV D Premium Leather",2018,"Diesel",50000,"450000.00"
"561","Mahindra","Mahindra Bolero 2011-2019 SLX",2016,"Diesel",107000,"537500.00"
"562","Hyundai","Hyundai Santro Xing XG eRLX Euro III",2009,"Petrol",120000,"77500.00"
"563","Volkswagen","Volkswagen Jetta 2.0L TDI Highline AT",2015,"Diesel",55300,"735000.00"
"564","Tata","Tata Indica Vista Quadrajet 90 VX",2015,"Diesel",74300,"285000.00"
"565","Honda","Honda City VX MT",2013,"Petrol",48781,"350000.00"
"566","Volkswagen","Volkswagen Jetta 1.9 Highline TDI",2013,"Diesel",87620,"288333.33"
"567","Volkswagen","Volkswagen Vento 1.5 TDI Highline Plus AT",2020,"Diesel",40219,"890000.00"
"568","Maruti","Maruti Wagon R VXI AMT1.2BSIV",2020,"Petrol",9745,"525000.00"
"569","Hyundai","Hyundai Grand i10 Asta",2020,"Petrol",9748,"488200.00"
"570","Volkswagen","Volkswagen Polo 1.0 MPI Trendline",2015,"Petrol",49000,"271000.00"
"571","Hyundai","Hyundai Creta 1.6 CRDi SX Option",2021,"Diesel",20694,"1186666.67"
"572","Hyundai","Hyundai Grand i10 Asta Option",2018,"Petrol",31080,"525000.00"
"573","Maruti","Maruti Swift DDiS LDI",2019,"Diesel",54000,"550000.00"
"574","Hyundai","Hyundai i10 Sportz 1.2 AT",2016,"Petrol",38000,"376250.00"
"575","Volkswagen","Volkswagen Vento 1.5 TDI Comfortline",2015,"Diesel",45454,"390000.00"
"576","Skoda","Skoda Rapid 1.5 TDI AT Ambition",2018,"Diesel",46957,"599000.00"
"577","Hyundai","Hyundai Getz GLE",2010,"Petrol",60000,"110000.00"
"578","Mahindra","Mahindra Scorpio M2DI",2015,"Diesel",110000,"497142.86"
"579","Ford","Ford Endeavour XLT TDCi 4X2",2011,"Diesel",190000,"280000.00"
"580","Audi","Audi Q3 35 TDI Quattro Technology",2021,"Diesel",25000,"2637500.00"
"581","Audi","Audi A5 Sportback",2023,"Diesel",1500,"4700000.00"
"582","Chevrolet","Chevrolet Sail Hatchback 1.3 TCDi LT ABS",2017,"Diesel",120000,"250000.00"
"583","Hyundai","Hyundai Accent CRDi",2008,"Diesel",120000,"112500.00"
"584","BMW","BMW 7 Series Signature 730Ld",2017,"Diesel",47000,"4000000.00"
"585","Toyota","Toyota Camry 2.5 Hybrid",2020,"Petrol",20000,"1900000.00"
"586","Mahindra","Mahindra XUV500 W5 BSIV",2021,"Diesel",35000,"1050000.00"
"587","Mahindra","Mahindra XUV300 W8 Option Diesel BSIV",2022,"Diesel",10000,"1000000.00"
"588","Mahindra","Mahindra Thar CRDe",2021,"Diesel",20000,"850000.00"
"589","Honda","Honda Mobilio E i DTEC",2020,"Diesel",116000,"660000.00"
"590","Maruti","Maruti Ciaz ZXi Plus",2018,"Petrol",66000,"712500.00"
"591","Fiat","Fiat Grande Punto EVO 1.3 Dynamic",2017,"Diesel",70000,"325000.00"
"592","Ford","Ford Endeavour Hurricane Limited Edition",2010,"Diesel",110000,"400000.00"
"593","Land","Land Rover Discovery S 2.0 SD4",2021,"Petrol",68000,"4000000.00"
"594","Hyundai","Hyundai i10 Era 1.1 iTech SE",2014,"Petrol",110000,"227333.33"
"595","Maruti","Maruti Vitara Brezza VDi Option",2021,"Diesel",26350,"703750.00"
"596","Hyundai","Hyundai i20 Sportz Option 1.2",2019,"Petrol",25000,"475000.00"
"597","Ford","Ford Endeavour 3.0L 4X4 AT",2014,"Diesel",90000,"950000.00"
"598","Hyundai","Hyundai Santro LE zipPlus",2004,"Petrol",70000,"63500.00"
"599","Hyundai","Hyundai Creta 1.4 EX Diesel",2023,"Diesel",10000,"1050000.00"
"600","Hyundai","Hyundai Verna CRDi 1.6 SX",2020,"Diesel",50000,"933333.33"
"601","Tata","Tata Indigo LX",2014,"Diesel",60000,"133000.00"
"602","Mitsubishi","Mitsubishi Pajero Sport 4X4",2015,"Diesel",167870,"1057500.00"
"603","Ford","Ford Fiesta 1.5 TDCi Titanium",2014,"Diesel",133564,"197000.00"
"604","Honda","Honda City i-VTEC CVT ZX",2021,"Petrol",23038,"1176666.67"
"605","BMW","BMW 3 Series GT Luxury Line",2020,"Diesel",30000,"3050000.00"
"606","Maruti","Maruti Baleno Alpha CVT",2021,"Petrol",11212,"825000.00"
"607","Hyundai","Hyundai i20 1.4 Magna Executive",2016,"Diesel",52000,"280000.00"
"608","Maruti","Maruti Baleno Zeta",2019,"Petrol",49217,"712500.00"
"609","Honda","Honda City VTEC",2006,"Petrol",90000,"310000.00"
"610","Ford","Ford Endeavour 3.2 Titanium AT 4X4",2019,"Diesel",106000,"2446428.57"
"611","Tata","Tata Xenon XT EX 4X2",2015,"Diesel",80000,"327333.33"
"612","Nissan","Nissan Terrano XL Plus 85 PS",2017,"Diesel",80000,"500333.33"
"613","Ford","Ford Ecosport 1.5 DV5 MT Ambiente",2016,"Diesel",60000,"500000.00"
"614","Skoda","Skoda Laura Elegance 1.9 TDI  AT",2013,"Diesel",130000,"400000.00"
"615","Maruti","Maruti Alto 800 LXI Airbag",2017,"Petrol",50000,"230000.00"
